Country,density,area(km^2),population
United Kingdom,271,242495,65648100
Sweden,22,450295,10112669
Spain,92,505990,46354321
Slovenia,102,20273,2065895
Slovakia,111,49035,5435343
Romania,82,238397,19638000
Ireland,68,70273,4761865
Portugal,112,92212,10309573
Poland,123,312679,38422346
Netherlands,414,41543,17230300
Malta,1410,316,445426
Luxembourg,228,2586,590667
Lithuania,43,65300,2810865
Latvia,30,64589,1953200
Italy,201,301338,60589445
Hungary,105,93030,9797561
Greece,85,131957,11183716
Germany,232,357168,82800000
France (European part),118,551695,65058000
Finland,16,338424,5509717
Estonia,29,45227,1318705
Denmark,134,42931,5748769
Czech Republic,135,78866,10610947
Cyprus,126,9251,1170125
Croatia,73,56594,4154200
Bulgaria,64,110994,7101859
Belgium,372,30528,11358357
Austria,105,83879,8823054
