YEAR,HOST_COUNTRY,WINNING_TEAM,SECOND_FINALIST,NUM_TEAMS,NUM_MATCHES,TOT_GOALS,AVG_ATTENDANCE,NUM_STADIUMS,NUM_CITIES
1930,Uruguay,Uruguay,Argentina,13,18,70,32808,3,1
1934,Italy,Italy,Czechoslovakia,16,17,70,21352,8,8
1938,France,Italy,Hungary,15,18,84,20872,10,9
1950,Brazil,Uruguay,Brazil,13,22,88,47511,6,6
1954,Switzerland,West Germany,Hungary,16,26,140,29561,6,6
1958,Sweden,Brazil,Sweden,16,35,126,23423,12,12
1962,Chile,Brazil,Czechoslovakia,16,32,89,27911,4,4
1966,England,England,West Germany,16,32,89,48847,8,7
1970,Mexico,Brazil,Italy,16,32,95,50124,5,5
1974,West Germany,West Germany,Netherlands,16,38,97,49098,9,9
1978,Argentina,Argentina,Netherlands,16,38,102,40678,6,5
1982,Spain,Italy,West Germany,24,52,146,40571,17,14
1986,Mexico,Argentina,West Germany,24,52,132,46039,12,11
1990,Italy,West Germany,Argentina,24,52,115,48388,12,12
1994,USA,Brazil,Italy,24,52,141,68991,9,9
1998,France,France,Brazil,32,64,171,43517,10,10
2002,South Korea/Japan,Brazil,Germany,32,64,161,42268,20,20
2006,Germany,Italy,France,32,64,147,52491,12,12
2010,South Africa,Spain,Netherlands,32,64,145,49669,10,9
2014,Brazil,Germany,Argentina,32,64,171,52918,12,12
